date,title,qualifiers,sentiment_score,url,title_qualifier,comment_count
2024-12-13,My Conversation with the excellent Paula Byrne,"['excellent', 'great']",0.1824597402597402,https://marginalrevolution.com/marginalrevolution/2024/12/my-conversation-with-the-excellent-paula-byrne.html,,0
2024-12-06,My excellent Conversation with Stephen Kotkin,['excellent'],0.09499545304232804,https://marginalrevolution.com/marginalrevolution/2024/12/my-excellent-conversation-with-stephen-kotkin.html,excellent,0
2024-11-26,My Conversation with Russ Roberts on Vasily Grossman’s *Life and Fate*,['great'],0.10365751107130414,https://marginalrevolution.com/marginalrevolution/2024/11/my-conversation-with-russ-roberts-on-vasily-grossmans-life-and-fate.html,,0
2024-11-14,My Conversation with the excellent Neal Stephenson,['excellent'],0.08867366850321398,https://marginalrevolution.com/marginalrevolution/2024/11/my-conversation-with-the-excellent-neal-stephenson.html,,0
2024-10-31,My Conversation with the excellent Christopher Kirchhoff,"['excellent', 'remarkable']",0.17510296597645994,https://marginalrevolution.com/marginalrevolution/2024/10/my-conversation-with-the-excellent-christopher-kirchhoff.html,,0
2024-10-10,My excellent Conversation with Tom Tugendhat,['excellent'],0.1307652417027417,https://marginalrevolution.com/marginalrevolution/2024/10/my-excellent-conversation-with-tom-tugendhat.html,excellent,0
2024-10-17,My Conversation with Musa al-Gharbi,['great'],0.03332748784137674,https://marginalrevolution.com/marginalrevolution/2024/10/my-conversation-with-musa-al-gharbi.html,,0
2024-10-14,Conversations with the new Laureates,[],0.0,https://marginalrevolution.com/marginalrevolution/2024/10/conversations-with-the-new-laureates.html,,0
2024-10-03,My Conversation with the excellent Kyla Scanlon,"['excellent', 'great']",0.18602756892230576,https://marginalrevolution.com/marginalrevolution/2024/10/my-conversation-with-the-excellent-kyla-scanlon.html,,0
2024-09-24,"Marginal Revolution Podcast, my excellent conversations with Alex Tabarrok",['excellent'],0.10357142857142856,https://marginalrevolution.com/marginalrevolution/2024/09/marginal-revolution-podcast-my-excellent-conversations-with-alex-tabarrok.html,excellent,0
2024-09-19,My Conversation with the excellent Tobi Lütke,"['excellent', 'wonderful', 'great']",0.18663671023965142,https://marginalrevolution.com/marginalrevolution/2024/09/my-conversation-with-the-excellent-tobi-lutke.html,,0
2024-09-05,My excellent Conversation with Philip Ball,['excellent'],0.18434936095650375,https://marginalrevolution.com/marginalrevolution/2024/09/my-excellent-conversation-with-philip-ball.html,excellent,0
2024-08-22,My excellent Conversation with Nate Silver,['excellent'],0.14214430014430016,https://marginalrevolution.com/marginalrevolution/2024/08/my-excellent-conversation-with-nate-silver.html,excellent,0
