date,title,qualifiers,sentiment_score,url,title_qualifier,comment_count
2024-12-06,My excellent Conversation with Stephen Kotkin,['excellent'],0.09499545304232800,https://marginalrevolution.com/marginalrevolution/2024/12/my-excellent-conversation-with-stephen-kotkin.html,excellent,58
2024-12-13,My Conversation with the excellent Paula Byrne,"['excellent', 'great']",0.1824597402597400,https://marginalrevolution.com/marginalrevolution/2024/12/my-conversation-with-the-excellent-paula-byrne.html,,36
2024-11-26,My Conversation with Russ Roberts on Vasily Grossman’s *Life and Fate*,['great'],0.10365751107130400,https://marginalrevolution.com/marginalrevolution/2024/11/my-conversation-with-russ-roberts-on-vasily-grossmans-life-and-fate.html,,25
2024-11-14,My Conversation with the excellent Neal Stephenson,['excellent'],0.08867366850321400,https://marginalrevolution.com/marginalrevolution/2024/11/my-conversation-with-the-excellent-neal-stephenson.html,,59
2024-10-31,My Conversation with the excellent Christopher Kirchhoff,"['excellent', 'remarkable']",0.17510296597646000,https://marginalrevolution.com/marginalrevolution/2024/10/my-conversation-with-the-excellent-christopher-kirchhoff.html,,107
2024-10-17,My Conversation with Musa al-Gharbi,['great'],0.03332748784137670,https://marginalrevolution.com/marginalrevolution/2024/10/my-conversation-with-musa-al-gharbi.html,,128
2024-10-10,My excellent Conversation with Tom Tugendhat,['excellent'],0.1307652417027420,https://marginalrevolution.com/marginalrevolution/2024/10/my-excellent-conversation-with-tom-tugendhat.html,excellent,33
2024-10-03,My Conversation with the excellent Kyla Scanlon,"['excellent', 'great']",0.18602756892230600,https://marginalrevolution.com/marginalrevolution/2024/10/my-conversation-with-the-excellent-kyla-scanlon.html,,40
2024-09-19,My Conversation with the excellent Tobi Lütke,"['excellent', 'wonderful', 'great']",0.18663671023965100,https://marginalrevolution.com/marginalrevolution/2024/09/my-conversation-with-the-excellent-tobi-lutke.html,,65
2024-09-05,My excellent Conversation with Philip Ball,['excellent'],0.18434936095650400,https://marginalrevolution.com/marginalrevolution/2024/09/my-excellent-conversation-with-philip-ball.html,excellent,66
2024-08-22,My excellent Conversation with Nate Silver,['excellent'],0.14214430014430000,https://marginalrevolution.com/marginalrevolution/2024/08/my-excellent-conversation-with-nate-silver.html,excellent,81
2024-08-09,My excellent Conversation with Paul Bloom,['excellent'],0.08356589147286830,https://marginalrevolution.com/marginalrevolution/2024/08/my-excellent-conversation-with-paul-bloom.html,excellent,89
2024-07-26,"My excellent Conversation with Alan Taylor, on American history","['excellent', 'great']",0.13863636363636400,https://marginalrevolution.com/marginalrevolution/2024/07/my-excellent-conversation-with-alan-taylor-on-american-history.html,excellent,64
2024-07-11,My excellent Conversation with Brian Winter,"['excellent', 'great', 'remarkable']",0.18791194255480000,https://marginalrevolution.com/marginalrevolution/2024/07/my-excellent-conversation-with-brian-winter.html,excellent,31
2024-06-27,My very good Conversation with Joseph Stiglitz,[],0.110015664160401,https://marginalrevolution.com/marginalrevolution/2024/06/my-very-good-conversation-with-joseph-stiglitz.html,,114
2024-06-13,My Conversation with Velina Tchakarova,['great'],0.115499751984127,https://marginalrevolution.com/marginalrevolution/2024/06/my-conversation-with-velina-tchakarova.html,,47
2024-05-30,My Conversation with the excellent Michael Nielsen,['excellent'],0.14399651274651300,https://marginalrevolution.com/marginalrevolution/2024/05/my-conversation-with-the-excellent-michael-nielsen.html,,46
2024-05-16,My excellent Conversation with Benjamin Moser,"['excellent', 'fascinating', 'great']",0.10204772378159500,https://marginalrevolution.com/marginalrevolution/2024/05/my-excellent-conversation-with-benjamin-moser.html,excellent,32
2024-05-02,My Conversation with the excellent Coleman Hughes,"['excellent', 'wonderful']",0.1718478084415580,https://marginalrevolution.com/marginalrevolution/2024/05/my-conversation-with-the-excellent-coleman-hughes.html,,103
2024-04-18,My excellent Conversation with Peter Thiel,"['excellent', 'great']",0.13641875911612800,https://marginalrevolution.com/marginalrevolution/2024/04/my-excellent-conversation-with-peter-thiel.html,excellent,105
2024-04-04,My contentious Conversation with Jonathan Haidt,"['contentious', 'great']",0.17978928253318500,https://marginalrevolution.com/marginalrevolution/2024/04/my-contentious-conversation-with-jonathan-haidt.html,contentious,273
2024-03-21,My excellent Conversation with Marilynne Robinson,['excellent'],0.10507105213627000,https://marginalrevolution.com/marginalrevolution/2024/03/my-excellent-conversation-with-marilynne-robinson.html,excellent,52
2024-03-07,My excellent Conversation with Marc Rowan,['excellent'],0.14519600769600800,https://marginalrevolution.com/marginalrevolution/2024/03/my-excellent-conversation-with-marc-rowan.html,excellent,47
2024-03-28,My Conversation with Fareed Zakaria,"['excellent', 'great']",0.2538315870924570,https://marginalrevolution.com/marginalrevolution/2024/03/my-conversation-with-fareed-zakaria.html,,59
2024-02-23,My Conversation with the very excellent Masaaki Suzuki,['excellent'],0.18788932744815100,https://marginalrevolution.com/marginalrevolution/2024/02/my-conversation-with-the-very-excellent-masaaki-suzuki.html,,19
2024-02-08,My Conversation with the excellent Ami Vitale,"['excellent', 'great']",0.1011627906976740,https://marginalrevolution.com/marginalrevolution/2024/02/my-conversation-with-the-excellent-ami-vitale.html,,43
2024-01-26,My Conversation with Rebecca F. Kuang,[],0.13629692617787900,https://marginalrevolution.com/marginalrevolution/2024/01/my-conversation-with-rebecca-f-kuang.html,,108
2024-01-12,My Conversation with the excellent Patrick McKenzie,"['excellent', 'great']",0.03911232137038590,https://marginalrevolution.com/marginalrevolution/2024/01/my-conversation-with-the-excellent-patrick-mckenzie.html,,51
